text,label
"Gak sesuai gambar, warnanya beda jauh.",Negatif
"Rasanya aneh, kayak makanan basi.",Negatif
"Mahal doang, rasanya biasa aja.",Negatif
"Kapok belanja di sini, penipu!",Negatif
"Packing asal-asalan, penyok semua.",Negatif
"Bahannya panas, gatel dipake.",Negatif
"Ukurannya kekecilan padahal udah pesen XL.",Negatif
"Respon penjual lambat banget.",Negatif
"Aplikasi sering crash, tolong diperbaiki.",Negatif
"Banyak bug, ganggu banget.",Negatif
"Iklannya kebanyakan, jadi males buka.",Negatif
"Baterainya boros, baru dipake bentar udah lowbat.",Negatif
"Kameranya burik, gak fokus.",Negatif
"Sinyalnya lemot parah di sini.",Negatif
"AC-nya gak dingin, cuma angin doang.",Negatif
"Kamarnya kotor, ada kecoa.",Negatif
"Sarapannya gak enak, dingin semua.",Negatif
"Lokasinya susah dicari, masuk gang sempit.",Negatif
"Filmnya ngebosenin, alurnya lambat.",Negatif
"Lagunya berisik, sakit kuping.",Negatif
"Bukunya sobek pas dateng.",Negatif
"Game-nya pay to win, malesin.",Negatif
"Sepatunya keras, bikin kaki lecet.",Negatif
"Jahitannya gak rapi, banyak benang keluar.",Negatif
"Wanginya nyengat banget, bikin pusing.",Negatif
"Bikin breakout parah, gak cocok.",Negatif
"Obatnya gak ngefek apa-apa.",Negatif
"Pelayanan terburuk yang pernah saya alami.",Negatif
"Jangan beli di sini, buang-buang duit.",Negatif
"Menyesal seumur hidup beli ini.",Negatif
"Tolong refund uang saya!",Negatif
"Gak niat jualan ya?",Negatif
"Barangnya sudah sampai.",Netral
"Lumayan lah buat harga segitu.",Netral
"Biasa aja sih, gak ada yang spesial.",Netral
"Standar, sesuai deskripsi.",Netral
"Pengiriman standar, 3 hari sampe.",Netral
"Warnanya agak beda dikit tapi oke lah.",Netral
"Rasanya B aja.",Netral
"Cukup membantu.",Netral
"Not bad.",Netral
"Ya gitu deh.",Netral
"Perlu ditingkatkan lagi.",Netral
"Masih ada beberapa kekurangan.",Netral
"Oke untuk pemula.",Netral
"Sedang dicoba, semoga awet.",Netral
"Belum dicoba, nanti diupdate.",Netral
"Harganya bersaing.",Netral
"Tempatnya lumayan luas.",Netral
"Parkirannya cukup.",Netral
"Menunya lumayan banyak.",Netral
"Rasanya standar resto cepat saji.",Netral
"Filmnya oke buat hiburan ringan.",Netral
"Lagunya lumayan catchy.",Netral
"Bukunya tebal, kertasnya bagus.",Netral
"Game-nya lumayan buat ngisi waktu luang.",Netral
"Sepatunya lumayan empuk.",Netral
"Bajunya lumayan tebal.",Netral
"Wanginya lumayan enak.",Netral
"Efeknya belum kelihatan.",Netral
"Obatnya standar generik.",Netral
"Terima kasih.",Netral
"Tombol di sini patut dicoba akhirnya!","Positif"
"Baterai bikin emosi sekali, kecewa.","Negatif"
"Game lambat awalnya, kecewa.","Negatif"
"Minuman di sini luar biasa pokoknya!","Positif"
"Gak nyangka Kamar mandi-nya bakal bau gini.","Negatif"
"Gak nyangka Tempat-nya bakal cacat gini.","Negatif"
"Gak nyangka Makanan-nya bakal mahal gini.","Negatif"
"Baju di sini keren banget sungguh!","Positif"
"pastinya Aplikasi-nya terbaik.","Positif"
"Ukuran di sini sangat membantu tadinya!","Positif"
"dijamin Pengiriman-nya cepat.","Positif"
"Scanner standar pabrik sih menurutku.","Netral"
"Gak nyangka Aplikasi-nya bakal palsu gini.","Negatif"
"sekali Sinyal-nya recommended.","Positif"
"Gak nyangka Baju-nya bakal palsu gini.","Negatif"
"Buat Suasana-nya cukup membantu, gak lebih.","Netral"
"Aplikasi bau pastinya, kecewa.","Negatif"
"asli Kualitas-nya ramah.","Positif"
"sekali Tempat-nya cepat.","Positif"
"Kasur bisa dimaklumi sih menurutku.","Netral"
"Gak nyangka Mouse-nya bakal kasar gini.","Negatif"
"benar-benar Aplikasi-nya elegan.","Positif"
"Mouse di sini bersih dijamin!","Positif"
"Sinyal bisa dimaklumi sih menurutku.","Netral"
"Gak nyangka Minuman-nya bakal lelet gini.","Negatif"
"benar-benar Baju-nya mantap.","Positif"
"Kamera di sini recommended benar-benar!","Positif"
"Tempat bikin emosi sekali, kecewa.","Negatif"
"Gak nyangka Aplikasi-nya bakal lambat gini.","Negatif"
"Koneksi gagal ternyata, kecewa.","Negatif"
"Gak nyangka Kamera-nya bakal cacat gini.","Negatif"
"Pelayanan tidak ada yang spesial sih menurutku.","Netral"
"Gak nyangka Kamar mandi-nya bakal gagal gini.","Negatif"
"Suasana biasa saja sih menurutku.","Netral"
"sungguh Harga-nya recommended.","Positif"
"Buat Film-nya sesuai deskripsi, gak lebih.","Netral"
"Gak nyangka Game-nya bakal mahal gini.","Negatif"
"Gak nyangka AC-nya bakal hancur gini.","Negatif"
"Admin terlalu biasa sih menurutku.","Netral"
"awalnya Minuman-nya recommended.","Positif"
"Buat Pelayanan-nya biasa saja, gak lebih.","Netral"
"Buat Sepatu-nya sedang-sedang saja, gak lebih.","Netral"
"tadinya Bahan-nya mantap.","Positif"
"awalnya Warna-nya juara.","Positif"
"asli Laptop-nya bikin nagih.","Positif"
"Buat Parkiran-nya standar pabrik, gak lebih.","Netral"
"Jam tangan di sini mudah digunakan rupanya!","Positif"
"Gak nyangka Baterai-nya bakal tidak sesuai gini.","Negatif"
"Jam tangan di sini bikin nagih pastinya!","Positif"
"Buat Parkiran-nya normal, gak lebih.","Netral"
"Printer cukup baik sih menurutku.","Netral"
"Buat Tablet-nya sesuai harga, gak lebih.","Netral"
"Tablet bikin emosi benar-benar, kecewa.","Negatif"
"Buat Produk-nya sedang-sedang saja, gak lebih.","Netral"
"Gak nyangka Headset-nya bakal lambat gini.","Negatif"
"Laptop di sini ramah sekali!","Positif"
"Pengiriman berisik benar-benar, kecewa.","Negatif"
"Buat Tablet-nya tidak ada yang spesial, gak lebih.","Netral"
"Buat Tempat-nya perlu ditingkatkan, gak lebih.","Netral"
"Buat Mouse-nya cukup baik, gak lebih.","Netral"
"Gak nyangka AC-nya bakal mahal gini.","Negatif"
"Buat Scanner-nya average, gak lebih.","Netral"
"Kamera cacat awalnya, kecewa.","Negatif"
"Gak nyangka Kualitas-nya bakal kasar gini.","Negatif"
"dijamin Tas-nya bersih.","Positif"
"Sinyal normal sih menurutku.","Netral"
"pokoknya Keyboard-nya ramah.","Positif"
"HP di sini bikin nagih memang!","Positif"
"AC di sini recommended dijamin!","Positif"
"Gak nyangka Kamera-nya bakal gagal gini.","Negatif"
"Musik lambat awalnya, kecewa.","Negatif"
"Gak nyangka Sinyal-nya bakal kasar gini.","Negatif"
"rupanya Laptop-nya worth it.","Positif"
"benar-benar Hotel-nya bersih.","Positif"
"sekali Printer-nya indah.","Positif"
"Gak nyangka Laptop-nya bakal mahal gini.","Negatif"
"Buat Laptop-nya tidak ada yang spesial, gak lebih.","Netral"
"Buat Harga-nya tidak ada yang spesial, gak lebih.","Netral"
"Aplikasi berisik memang, kecewa.","Negatif"
"Gak nyangka Printer-nya bakal merugikan gini.","Negatif"
"Gak nyangka Parkiran-nya bakal buruk sekali gini.","Negatif"
"Gak nyangka Koneksi-nya bakal cacat gini.","Negatif"
"Staff di sini sangat memuaskan sumpah!","Positif"
"awalnya Interface-nya elegan.","Positif"
"Kamera normal sih menurutku.","Netral"
"Gak nyangka Hotel-nya bakal lambat gini.","Negatif"
"Gak nyangka Keyboard-nya bakal hancur gini.","Negatif"
"dijamin Bahan-nya luar biasa.","Positif"
"Kasur di sini bikin nagih rupanya!","Positif"
"banget Sepatu-nya sangat membantu.","Positif"
"Buat Ukuran-nya not bad, gak lebih.","Netral"
"Gak nyangka Harga-nya bakal palsu gini.","Negatif"
"Headset normal sih menurutku.","Netral"
"Headset berisik pokoknya, kecewa.","Negatif"
"Keyboard sedang-sedang saja sih menurutku.","Netral"
"Sepatu di sini sangat memuaskan memang!","Positif"
"memang Koneksi-nya juara.","Positif"
"Admin sesuai deskripsi sih menurutku.","Netral"
"Interface mahal benar-benar, kecewa.","Negatif"
"Buat Suasana-nya perlu ditingkatkan, gak lebih.","Netral"
"Mouse bisa dimaklumi sih menurutku.","Netral"
"akhirnya Buku-nya juara.","Positif"
"Gak nyangka Monitor-nya bakal bau gini.","Negatif"
"Jam tangan di sini sangat memuaskan akhirnya!","Positif"
"Parkiran kotor asli, kecewa.","Negatif"
"Koneksi di sini juara akhirnya!","Positif"
"Laptop sesuai harga sih menurutku.","Netral"
"Gak nyangka Kamar mandi-nya bakal tidak sesuai gini.","Negatif"
"akhirnya Scanner-nya elegan.","Positif"
"Pelayanan di sini bikin nagih sumpah!","Positif"
"Monitor di sini ramah memang!","Positif"
"Gak nyangka Security-nya bakal parah gini.","Negatif"
"Desain di sini juara benar-benar!","Positif"
"Baju di sini worth it asli!","Positif"
"Monitor masih oke sih menurutku.","Netral"
"Gak nyangka Tempat-nya bakal kotor gini.","Negatif"
"Gak nyangka Scanner-nya bakal sangat mengecewakan gini.","Negatif"
"Gak nyangka HP-nya bakal buruk sekali gini.","Negatif"
"Gak nyangka Baju-nya bakal gagal gini.","Negatif"
"Sinyal di sini mantap pokoknya!","Positif"
"Hotel sangat mengecewakan benar-benar, kecewa.","Negatif"
"Gak nyangka Staff-nya bakal hancur gini.","Negatif"
"Buat Monitor-nya biasa saja, gak lebih.","Netral"
"Buat Minuman-nya sesuai harga, gak lebih.","Netral"
"Mouse perlu ditingkatkan sih menurutku.","Netral"
"Produk di sini sangat membantu rupanya!","Positif"
"Tombol rusak awalnya, kecewa.","Negatif"
"Kamera biasa saja sih menurutku.","Netral"
"sungguh Website-nya mantap.","Positif"
"rupanya Tombol-nya bikin nagih.","Positif"
"Buat Tombol-nya cukup membantu, gak lebih.","Netral"
"Tombol rusak benar-benar, kecewa.","Negatif"
"dijamin Harga-nya worth it.","Positif"
"Interface di sini bersih tadinya!","Positif"
"Keyboard rusak akhirnya, kecewa.","Negatif"
"Jam tangan seperti biasa sih menurutku.","Netral"
"Baju di sini mantap sungguh!","Positif"
"tadinya Kualitas-nya juara.","Positif"
"Buat Laptop-nya sesuai harga, gak lebih.","Netral"
"AC sangat mengecewakan memang, kecewa.","Negatif"
"Suasana not bad sih menurutku.","Netral"
"Buat Printer-nya cukup membantu, gak lebih.","Netral"
"Harga bisa dimaklumi sih menurutku.","Netral"
"memang Sinyal-nya mantap.","Positif"
"Desain di sini recommended asli!","Positif"
"Gak nyangka Parkiran-nya bakal berisik gini.","Negatif"
"Baterai di sini oke punya sungguh!","Positif"
"dijamin Staff-nya indah.","Positif"
"Tas terlalu biasa sih menurutku.","Netral"
"Gak nyangka Makanan-nya bakal kasar gini.","Negatif"
"Game di sini cepat awalnya!","Positif"
"Keyboard kasar rupanya, kecewa.","Negatif"
"Buat Admin-nya cukup baik, gak lebih.","Netral"
"Gak nyangka Admin-nya bakal palsu gini.","Negatif"
"Fitur rusak tadinya, kecewa.","Negatif"
"Musik parah akhirnya, kecewa.","Negatif"
"Baterai perlu ditingkatkan sih menurutku.","Netral"
"Buat Suasana-nya bisa dimaklumi, gak lebih.","Netral"
"Baterai di sini nyaman sumpah!","Positif"
"tadinya Desain-nya bikin nagih.","Positif"
"Jam tangan palsu rupanya, kecewa.","Negatif"
"Buat Laptop-nya cukup baik, gak lebih.","Netral"
"Koneksi standar pabrik sih menurutku.","Netral"
"Gak nyangka AC-nya bakal gagal gini.","Negatif"
"dijamin Kamar mandi-nya responsif.","Positif"
"Kamar biasa saja sih menurutku.","Netral"
"Buku di sini ramah benar-benar!","Positif"
"benar-benar Tempat-nya sangat memuaskan.","Positif"
"Buat Security-nya tidak ada yang spesial, gak lebih.","Netral"
"Film berisik rupanya, kecewa.","Negatif"
"Sepatu perlu ditingkatkan sih menurutku.","Netral"
"pastinya Loading-nya mudah digunakan.","Positif"
"Game sesuai deskripsi sih menurutku.","Netral"
"Buat Hotel-nya average, gak lebih.","Netral"
"Gak nyangka Celana-nya bakal mahal gini.","Negatif"
"Gak nyangka Game-nya bakal gagal gini.","Negatif"
"Laptop agak kurang sih menurutku.","Netral"
"sungguh Pelayanan-nya bersih.","Positif"
"Buat Produk-nya cukup membantu, gak lebih.","Netral"
"Baterai buruk sekali rupanya, kecewa.","Negatif"
"Gak nyangka Desain-nya bakal tidak layak gini.","Negatif"
"Buku parah awalnya, kecewa.","Negatif"
"Scanner di sini keren banget sungguh!","Positif"
"Gak nyangka Tombol-nya bakal lelet gini.","Negatif"
"Buat Desain-nya average, gak lebih.","Netral"
"Monitor di sini juara pastinya!","Positif"
"Gak nyangka Parkiran-nya bakal tidak sesuai gini.","Negatif"
"Gak nyangka Ukuran-nya bakal tidak layak gini.","Negatif"
"Staff tidak layak sungguh, kecewa.","Negatif"
"Gak nyangka Ukuran-nya bakal rusak gini.","Negatif"
"Website cukup baik sih menurutku.","Netral"
"Baju average sih menurutku.","Netral"
"Buat Kamera-nya cukup baik, gak lebih.","Netral"
"Gak nyangka Baju-nya bakal tidak layak gini.","Negatif"
"Desain di sini terbaik ternyata!","Positif"
"Buat Printer-nya masih oke, gak lebih.","Netral"
"Gak nyangka Fitur-nya bakal bikin emosi gini.","Negatif"
"Buat Staff-nya perlu ditingkatkan, gak lebih.","Netral"
"Gak nyangka Ukuran-nya bakal lambat gini.","Negatif"
"Keyboard di sini bersih rupanya!","Positif"
"Security di sini responsif sumpah!","Positif"
"Keyboard cukup sih menurutku.","Netral"
"Gak nyangka Celana-nya bakal bikin emosi gini.","Negatif"
"Pelayanan lelet benar-benar, kecewa.","Negatif"
"asli Printer-nya juara.","Positif"
"Tombol di sini mudah digunakan sumpah!","Positif"
"Suasana agak kurang sih menurutku.","Netral"
"Aplikasi lelet sumpah, kecewa.","Negatif"
"Hotel sesuai harga sih menurutku.","Netral"
"Jam tangan tidak ada yang spesial sih menurutku.","Netral"
"Buku seperti biasa sih menurutku.","Netral"
"Pelayanan cukup baik sih menurutku.","Netral"
"Scanner agak kurang sih menurutku.","Netral"
"Suasana bikin emosi awalnya, kecewa.","Negatif"
"Sepatu di sini sangat memuaskan asli!","Positif"
"Headset seperti biasa sih menurutku.","Netral"
"Jam tangan di sini bersih dijamin!","Positif"
"Buat Staff-nya seperti biasa, gak lebih.","Netral"
"Buat Celana-nya sesuai deskripsi, gak lebih.","Netral"
"HP di sini oke punya asli!","Positif"
"Website di sini keren banget sungguh!","Positif"
"Gak nyangka Staff-nya bakal penipuan gini.","Negatif"
"awalnya Game-nya juara.","Positif"
"Buku standar sih menurutku.","Netral"
"Buat Produk-nya average, gak lebih.","Netral"
"Minuman average sih menurutku.","Netral"
"AC kasar pastinya, kecewa.","Negatif"
"sungguh Admin-nya responsif.","Positif"
"tadinya Security-nya bersih.","Positif"
"Buat Kamar mandi-nya standar, gak lebih.","Netral"
"Buat Kualitas-nya bisa dimaklumi, gak lebih.","Netral"
"Buat Admin-nya cukup baik, gak lebih.","Netral"
"Gak nyangka Harga-nya bakal parah gini.","Negatif"
"Gak nyangka Pengiriman-nya bakal kasar gini.","Negatif"
"Produk parah sekali, kecewa.","Negatif"
"Buat Mouse-nya perlu ditingkatkan, gak lebih.","Netral"
"Bahan penipuan pastinya, kecewa.","Negatif"
"Harga cukup membantu sih menurutku.","Netral"
"Kamar mandi di sini bersih tadinya!","Positif"
"Gak nyangka AC-nya bakal penipuan gini.","Negatif"
"Kamar cukup sih menurutku.","Netral"
"Kamar parah benar-benar, kecewa.","Negatif"
"Gak nyangka Kamar mandi-nya bakal lambat gini.","Negatif"
"Buat Hotel-nya normal, gak lebih.","Netral"
"awalnya Keyboard-nya responsif.","Positif"
"Buat Scanner-nya biasa saja, gak lebih.","Netral"
"Kualitas cacat rupanya, kecewa.","Negatif"
"asli Koneksi-nya ramah.","Positif"
"Gak nyangka Laptop-nya bakal penipuan gini.","Negatif"
"memang Mouse-nya bersih.","Positif"
"awalnya AC-nya sangat membantu.","Positif"
"Ukuran sesuai deskripsi sih menurutku.","Netral"
"Buat Website-nya tidak ada yang spesial, gak lebih.","Netral"
"Buat Staff-nya not bad, gak lebih.","Netral"
"Parkiran di sini cepat memang!","Positif"
"rupanya Kasur-nya mudah digunakan.","Positif"
"Tas sesuai deskripsi sih menurutku.","Netral"
"Buat Film-nya sedang-sedang saja, gak lebih.","Netral"
"Buat Mouse-nya agak kurang, gak lebih.","Netral"
"Gak nyangka Tempat-nya bakal mahal gini.","Negatif"
"Buku lambat sekali, kecewa.","Negatif"
"sungguh Sinyal-nya elegan.","Positif"
"Gak nyangka Baterai-nya bakal bikin emosi gini.","Negatif"
"rupanya Pengiriman-nya sangat memuaskan.","Positif"
"Security sesuai deskripsi sih menurutku.","Netral"
"Gak nyangka Ukuran-nya bakal penipuan gini.","Negatif"
"Headset hancur tadinya, kecewa.","Negatif"
"ternyata Tombol-nya cepat.","Positif"
"Mouse cukup baik sih menurutku.","Netral"
"Kualitas cukup baik sih menurutku.","Netral"
"Baju gagal ternyata, kecewa.","Negatif"
"Bahan rusak memang, kecewa.","Negatif"
"Loading di sini juara awalnya!","Positif"
"Buat Security-nya cukup, gak lebih.","Netral"
"Pelayanan di sini recommended benar-benar!","Positif"
"Gak nyangka Tas-nya bakal hancur gini.","Negatif"
"Admin average sih menurutku.","Netral"
"benar-benar Game-nya juara.","Positif"
"Monitor perlu ditingkatkan sih menurutku.","Netral"
"akhirnya Baju-nya mudah digunakan.","Positif"
"Gak nyangka Kasur-nya bakal penipuan gini.","Negatif"
"Gak nyangka Interface-nya bakal lelet gini.","Negatif"
"Tas di sini terbaik memang!","Positif"
"pastinya Mouse-nya juara.","Positif"
"memang Game-nya oke punya.","Positif"
"Minuman sangat mengecewakan asli, kecewa.","Negatif"
"Admin cacat akhirnya, kecewa.","Negatif"
"sungguh Headset-nya worth it.","Positif"
"Gak nyangka Mouse-nya bakal kotor gini.","Negatif"
"tadinya Loading-nya responsif.","Positif"
"Keyboard di sini elegan asli!","Positif"
"AC di sini oke punya benar-benar!","Positif"
"Laptop tidak ada yang spesial sih menurutku.","Netral"
"Tombol di sini terbaik awalnya!","Positif"
"tadinya Kasur-nya bersih.","Positif"
"Buat Film-nya tidak ada yang spesial, gak lebih.","Netral"
"banget Baju-nya terbaik.","Positif"
"Buat Tablet-nya biasa saja, gak lebih.","Netral"
"Buat Produk-nya sesuai harga, gak lebih.","Netral"
"Buat Tombol-nya standar pabrik, gak lebih.","Netral"
"pokoknya Headset-nya patut dicoba.","Positif"
"Desain standar pabrik sih menurutku.","Netral"
"Aplikasi di sini bersih tadinya!","Positif"
"sekali Suasana-nya recommended.","Positif"
"Buat Warna-nya agak kurang, gak lebih.","Netral"
"Tablet sesuai harga sih menurutku.","Netral"
"Sepatu average sih menurutku.","Netral"
"Gak nyangka Laptop-nya bakal tidak sesuai gini.","Negatif"
"Headset di sini mudah digunakan pastinya!","Positif"
"sekali Tombol-nya keren banget.","Positif"
"Headset sangat mengecewakan ternyata, kecewa.","Negatif"
"Fitur di sini luar biasa dijamin!","Positif"
"tadinya Aplikasi-nya ramah.","Positif"
"Buat Suasana-nya cukup baik, gak lebih.","Netral"
"Koneksi parah benar-benar, kecewa.","Negatif"
"Gak nyangka Makanan-nya bakal hancur gini.","Negatif"
"Laptop di sini nyaman memang!","Positif"
"rupanya Staff-nya oke punya.","Positif"
"Gak nyangka Interface-nya bakal hancur gini.","Negatif"
"Buat Hotel-nya terlalu biasa, gak lebih.","Netral"
"sumpah Bahan-nya ramah.","Positif"
"Harga mahal tadinya, kecewa.","Negatif"
"Mouse di sini worth it banget!","Positif"
"Buat Laptop-nya perlu ditingkatkan, gak lebih.","Netral"
"Warna di sini cepat awalnya!","Positif"
"banget Interface-nya sangat membantu.","Positif"
"Admin buruk sekali akhirnya, kecewa.","Negatif"
"Gak nyangka Aplikasi-nya bakal cacat gini.","Negatif"
"sungguh Musik-nya mudah digunakan.","Positif"
"Buat Hotel-nya standar, gak lebih.","Netral"
"Kualitas sesuai deskripsi sih menurutku.","Netral"
"Gak nyangka Ukuran-nya bakal gagal gini.","Negatif"
"Musik sesuai deskripsi sih menurutku.","Netral"
"Buat Aplikasi-nya lumayan, gak lebih.","Netral"
"Gak nyangka Fitur-nya bakal rusak gini.","Negatif"
"Kamera tidak ada yang spesial sih menurutku.","Netral"
"Jam tangan hancur ternyata, kecewa.","Negatif"
"memang Tablet-nya mudah digunakan.","Positif"
"Buat Scanner-nya sesuai deskripsi, gak lebih.","Netral"
"Film not bad sih menurutku.","Netral"
"Gak nyangka Koneksi-nya bakal tidak layak gini.","Negatif"
"Tombol buruk sekali ternyata, kecewa.","Negatif"
"Sinyal sangat mengecewakan pastinya, kecewa.","Negatif"
"Film di sini worth it tadinya!","Positif"
"Celana palsu sekali, kecewa.","Negatif"
"Produk penipuan memang, kecewa.","Negatif"
"Suasana mahal akhirnya, kecewa.","Negatif"
"Admin di sini indah sungguh!","Positif"
"Gak nyangka Kamar-nya bakal bau gini.","Negatif"
"Baterai sesuai deskripsi sih menurutku.","Netral"
"Mouse di sini bersih benar-benar!","Positif"
"Kamar mandi cukup membantu sih menurutku.","Netral"
"Gak nyangka Parkiran-nya bakal bau gini.","Negatif"
"pastinya Buku-nya cepat.","Positif"
"Gak nyangka Monitor-nya bakal tidak sesuai gini.","Negatif"
"tadinya Musik-nya mudah digunakan.","Positif"
"Desain terlalu biasa sih menurutku.","Netral"
"Gak nyangka Fitur-nya bakal lambat gini.","Negatif"
"Ukuran agak kurang sih menurutku.","Netral"
"Scanner parah akhirnya, kecewa.","Negatif"
"Buat Desain-nya sesuai harga, gak lebih.","Netral"
"Monitor parah asli, kecewa.","Negatif"
"Gak nyangka Pengiriman-nya bakal tidak layak gini.","Negatif"
"ternyata Hotel-nya cepat.","Positif"
"Buat Musik-nya cukup baik, gak lebih.","Netral"
"Harga average sih menurutku.","Netral"
"Staff di sini bersih sumpah!","Positif"
"Ukuran hancur asli, kecewa.","Negatif"
"sekali Film-nya keren banget.","Positif"
"Gak nyangka Pelayanan-nya bakal merugikan gini.","Negatif"
"HP lelet awalnya, kecewa.","Negatif"
"Harga sangat mengecewakan asli, kecewa.","Negatif"
"Gak nyangka Tas-nya bakal bikin emosi gini.","Negatif"
"sumpah Game-nya indah.","Positif"
"Buat Headset-nya seperti biasa, gak lebih.","Netral"
"Kamar di sini mantap rupanya!","Positif"
"Buat Bahan-nya cukup membantu, gak lebih.","Netral"
"Staff buruk sekali asli, kecewa.","Negatif"
"Gak nyangka Musik-nya bakal sangat mengecewakan gini.","Negatif"
"Gak nyangka Sepatu-nya bakal tidak layak gini.","Negatif"
"Buat Makanan-nya sesuai deskripsi, gak lebih.","Netral"
"Kamera di sini bikin nagih banget!","Positif"
"Monitor terlalu biasa sih menurutku.","Netral"
"Kamar mandi di sini recommended pokoknya!","Positif"
"Monitor di sini sangat membantu ternyata!","Positif"
"Makanan perlu ditingkatkan sih menurutku.","Netral"
"Interface normal sih menurutku.","Netral"
"Gak nyangka HP-nya bakal gagal gini.","Negatif"
"pastinya Tempat-nya bikin nagih.","Positif"
"awalnya Warna-nya mantap.","Positif"
"Tas average sih menurutku.","Netral"
"Buat Makanan-nya tidak ada yang spesial, gak lebih.","Netral"
"Mouse di sini juara banget!","Positif"
"Musik rusak rupanya, kecewa.","Negatif"
"Tempat di sini sangat memuaskan benar-benar!","Positif"
"Desain tidak layak pastinya, kecewa.","Negatif"
"HP mahal sungguh, kecewa.","Negatif"
"sekali Harga-nya bersih.","Positif"
"Buat Celana-nya sesuai harga, gak lebih.","Netral"
"Buat Pelayanan-nya agak kurang, gak lebih.","Netral"
"Gak nyangka Kamera-nya bakal lelet gini.","Negatif"
"asli Warna-nya sangat membantu.","Positif"
"Kamar di sini mudah digunakan pokoknya!","Positif"
"Gak nyangka Admin-nya bakal hancur gini.","Negatif"
"sungguh Security-nya oke punya.","Positif"
"Interface kasar asli, kecewa.","Negatif"
"Buat Staff-nya biasa saja, gak lebih.","Netral"
"Game merugikan benar-benar, kecewa.","Negatif"
"Buat Suasana-nya perlu ditingkatkan, gak lebih.","Netral"
"Buat Website-nya cukup membantu, gak lebih.","Netral"
"Admin di sini nyaman pastinya!","Positif"
"Bahan di sini sangat membantu dijamin!","Positif"
"sungguh Mouse-nya responsif.","Positif"
"Parkiran normal sih menurutku.","Netral"
"Harga masih oke sih menurutku.","Netral"
"benar-benar Mouse-nya mantap.","Positif"
"Keyboard di sini indah ternyata!","Positif"
"Pelayanan kotor rupanya, kecewa.","Negatif"
"HP biasa saja sih menurutku.","Netral"
"Buat Film-nya standar pabrik, gak lebih.","Netral"
"Gak nyangka Desain-nya bakal lambat gini.","Negatif"
"Gak nyangka Headset-nya bakal kotor gini.","Negatif"
"Buku mahal banget, kecewa.","Negatif"
"Buat Loading-nya average, gak lebih.","Netral"
"Harga lambat sumpah, kecewa.","Negatif"
"banget Warna-nya sangat memuaskan.","Positif"
"Gak nyangka Kamar-nya bakal bikin emosi gini.","Negatif"
"Laptop normal sih menurutku.","Netral"
"Celana normal sih menurutku.","Netral"
"Jam tangan di sini patut dicoba sumpah!","Positif"
"Security bikin emosi pokoknya, kecewa.","Negatif"
"Parkiran standar pabrik sih menurutku.","Netral"
"Kamar di sini sangat memuaskan pokoknya!","Positif"
"Baterai hancur sumpah, kecewa.","Negatif"
"Admin di sini ramah sumpah!","Positif"
"Buku di sini patut dicoba akhirnya!","Positif"
"Gak nyangka HP-nya bakal cacat gini.","Negatif"
"Gak nyangka Baterai-nya bakal sangat mengecewakan gini.","Negatif"
"Buat Produk-nya sesuai harga, gak lebih.","Netral"
"Tas standar sih menurutku.","Netral"
"Gak nyangka Suasana-nya bakal bau gini.","Negatif"
"Tempat di sini indah awalnya!","Positif"
"Gak nyangka Baju-nya bakal palsu gini.","Negatif"
"Makanan di sini cepat pastinya!","Positif"
